"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","servico","tempodeservico","religiao","religiao.outras","contato.tema","lida.com","onde.lida.com","lida.com.outros","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039","ps040","ps041","ps042"
"114","",NA,"Finalizadas","10 maio 2014  19:59","10 maio 2014  20:26","26 minutos 51 segundos","Sim","45","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura Plena em Letras","Professora das redes municipal e estadual","Professora","16","Católica",NA,"Sim","Sim","Escola","Escola Estadual José Edson Cavalieri (Penitenciária)","2","4","2","2","4","2","2","2","1","2","3","1","2","1","5","2","1","1","4","1","4","3","1","4","4","1","1","1","1","1","5","5","1","5","5","5","5","5","1","1","1","1"
"115","",NA,"Finalizadas","10 maio 2014  20:52","10 maio 2014  21:15","23 minutos 25 segundos","Sim","36","Feminino","Ensino Superior Completo","Casado (a)",NA,"Educação Física","Professora","Professora de educação","7","Espírita",NA,"Sim","Sim","Escola",NA,"3","4","2","2","2","2","3","2","1","1","1","2","2","4","5","2","2","1","3","2","3","5","4","5","4","2","2","3","3","2","4","4","3","3","4","4","3","3","3","1","2","2"
"116","",NA,"Finalizadas","10 maio 2014  21:36","10 maio 2014  21:49","12 minutos 22 segundos","Sim","39","Feminino","Pós-graduação","Outros","União estável","Comunicação","Editora","Público","3","Católica",NA,"Sim","Não",NA,NA,"2","2","5","2","2","2","2","2","2","1","1","1","2","4","4","2","1","1","1","1","3","1","4","4","2","1","1","1","1","1","5","5","1","2","4","4","4","4","2","2","2","1"
"117","",NA,"Finalizadas","10 maio 2014  22:14","10 maio 2014  22:50","35 minutos 56 segundos","Sim","36","Feminino","Ensino Superior Completo","Casado (a)",NA,"Letras","Professora","Revisora","8","Espírita",NA,"Não","Sim","Escola",NA,"2","2","2","2","2","2","2","1","1","1","1","2","2","2","4","1","1","2","2","2","4","1","2","4","2","2","2","1","3","1","5","5","2","3","5","4","4","3","3","1","1","3"
"118","",NA,"Finalizadas","10 maio 2014  22:57","10 maio 2014  23:12","14 minutos 44 segundos","Sim","41","Feminino","Pós-graduação","Casado (a)",NA,"PSICÓLOGA","PSICÓLOGA","CRECHE","11","Católica",NA,"Sim","Sim","Outros","TRABALHO","2","2","5","2","2","2","3","2","1","3","2","2","3","2","4","2","2","3","2","2","4","5","3","4","4","2","2","3","2","2","4","4","3","4","3","4","3","3","4","2","2","5"
"119","",NA,"Finalizadas","10 maio 2014  23:12","10 maio 2014  23:25","13 minutos 12 segundos","Sim","34","Feminino","Pós-graduação","Casado (a)",NA,"Enfermeira","Docente","ensino superior","8","Sem religião",NA,"Sim","Não",NA,NA,"1","1","3","1","1","1","1","1","1","2","2","1","1","4","5","2","1","4","1","1","5","2","1","5","5","1","1","3","1","1","5","5","1","4","5","3","4","4","2","1","1","5"
"120","",NA,"Finalizadas","11 maio 2014  00:07","11 maio 2014  00:43","35 minutos 59 segundos","Sim","37","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura em Matemática","Professora","Leciono matemática para adolescentes ( 6 ao 9 ano)","18","Evangélica",NA,"Sim","Sim","Outros","Presídio","2","4","2","2","2","2","2","2","4","3","3","2","2","3","4","1","1","2","1","2","4","2","2","4","2","1","1","1","1","1","5","5","2","3","5","4","4","5","2","2","1","5"
"121","",NA,"Finalizadas","11 maio 2014  00:14","11 maio 2014  00:28","14 minutos 1 segundo","Sim","32","Feminino","Pós-graduação","Casado (a)",NA,"Licenciada em Letras","Professora","Escola Pública","9 anos","Católica",NA,"Sim","Sim","Escola",NA,"2","4","5","4","4","5","2","2","2","2","2","2","2","2","5","5","2","2","2","2","4","3","2","2","5","2","2","4","4","2","5","4","4","2","2","1","2","2","5","2","4","2"
"122","",NA,"Finalizadas","11 maio 2014  07:57","11 maio 2014  08:09","11 minutos 23 segundos","Sim","38","Feminino","Pós-graduação","Casado (a)",NA,"Peagogia","Professora","professora ensino básico","4 anos","Católica",NA,"Sim","Sim","Família",NA,"5","5","5","3","5","5","5","5","2","1","2","2","2","2","5","2","1","5","2","1","3","1","1","4","4","1","2","4","1","2","4","4","5","2","5","5","4","4","2","1","1","5"
"123","",NA,"Finalizadas","11 maio 2014  09:44","11 maio 2014  10:00","16 minutos 3 segundos","Sim","38","Feminino","Pós-graduação","Solteiro (a)",NA,"Letras","Professora","Professora","9","Católica",NA,"Sim","Sim","Escola",NA,"3","2","4","2","2","2","2","2","2","2","2","2","2","2","4","2","2","4","2","2","3","2","2","2","3","2","2","2","2","2","3","4","3","3","5","2","5","3","3","2","2","2"
